set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "T.x" w linespoints
8752.159,425.76,535.26,452.19,0
8752.202,409.54,541.33,464.52,0
8752.233,409.54,541.33,464.52,0
8752.28,412.20,517.61,519.94,0
8752.327,412.20,517.61,519.94,0
8752.358,418.57,455.66,499.22,0
8752.389,418.57,455.66,499.22,0
8752.42,416.65,458.42,471.10,0
8752.467,416.65,458.42,471.10,0
8752.514,419.47,481.54,491.34,0
8752.545,419.47,481.54,491.34,0
8752.592,416.54,492.73,486.62,0
8752.639,416.54,492.73,486.62,0
8752.67,419.95,456.21,490.89,0
8752.717,419.95,456.21,490.89,0
8752.754,414.97,502.98,449.43,0
8752.802,414.97,502.98,449.43,0
8752.851,417.16,498.11,446.82,0
8752.898,417.16,498.11,446.82,0
8752.929,411.58,504.57,449.61,0
8752.976,411.58,504.57,449.61,0
8753.007,416.97,452.59,460.22,0
8753.054,416.97,452.59,460.22,0
8753.086,425.02,471.02,486.03,0

e
8744.922,428.45,486.46,458.97,0
8744.968,428.45,486.46,458.97,0
8745.0,435.98,492.67,418.68,0
8745.047,435.98,492.67,418.68,0
8745.078,420.15,510.84,457.38,0
8745.125,420.15,510.84,457.38,0
8745.16,419.37,487.91,459.82,0
8745.214,419.37,487.91,459.82,0
8745.261,429.60,537.80,412.62,0
8745.292,429.60,537.80,412.62,0
8745.339,434.30,489.27,461.84,0
8745.37,434.30,489.27,461.84,0
8745.417,434.30,489.27,461.84,0
8745.464,427.63,483.93,468.09,0
8745.495,429.18,486.47,427.63,0
8745.542,429.18,486.47,427.63,0
8745.589,420.28,473.02,495.89,0
8745.636,420.28,473.02,495.89,0
8745.667,420.57,531.85,443.67,0
8745.698,420.57,531.85,443.67,0
8745.745,420.57,531.85,443.67,0
8745.776,424.27,541.31,452.02,0
8745.823,424.27,541.31,452.02,0
8745.87,431.26,481.73,424.87,0
8745.901,431.26,481.73,424.87,0
8745.948,436.17,456.44,450.81,0
8745.995,436.17,456.44,450.81,0
8746.042,426.82,454.15,458.92,0
8746.089,417.28,491.44,441.98,0
8746.12,417.28,491.44,441.98,0
8746.151,417.28,491.44,441.98,0
8746.198,409.50,501.49,395.70,0
8746.229,409.50,501.49,395.70,0
8746.276,414.86,486.66,486.88,0
8746.307,414.86,486.66,486.88,0
8746.354,409.95,490.35,424.79,0
8746.386,409.95,490.35,424.79,0
8746.432,411.84,502.25,445.24,0
8746.479,411.84,502.25,445.24,0
8746.542,433.07,483.90,476.89,0
8746.573,433.07,483.90,476.89,0
8746.62,450.10,499.43,453.34,0
8746.651,450.10,499.43,453.34,0
8746.698,445.78,492.47,448.17,0
8746.729,445.78,492.47,448.17,0
8746.776,447.58,485.12,481.44,0
8746.807,447.58,485.12,481.44,0
8746.854,436.70,504.94,434.67,0
8746.886,436.70,504.94,434.67,0
8746.932,430.91,489.00,446.02,0
8746.964,430.91,489.00,446.02,0
8746.995,431.78,503.44,429.13,0
8747.042,431.78,503.44,429.13,0
8747.073,431.78,503.44,429.13,0
8747.12,439.83,493.14,445.80,0
8747.167,428.44,503.66,455.19,0
8747.209,428.44,503.66,455.19,0
8747.24,428.44,503.66,455.19,0
8747.287,408.67,544.39,443.44,0
8747.334,408.67,544.39,443.44,0
8747.381,414.50,445.95,442.61,0
8747.428,409.04,502.87,882.14,0
8747.475,409.04,502.87,882.14,0
8747.521,410.41,529.30,1126.03,683.42004
8747.568,410.41,529.30,1126.03,0
8747.615,409.49,481.43,889.32,0
8747.646,409.49,481.43,889.32,0
8747.693,412.09,529.95,796.41,0
8747.725,412.09,529.95,796.41,0
8747.778,410.47,538.67,762.87,0
8747.809,410.47,538.67,762.87,0
8747.856,410.96,506.41,747.56,0
8747.888,410.96,506.41,747.56,0
8747.934,408.32,495.38,720.14,0
8747.966,408.32,495.38,720.14,0
8748.013,415.71,489.73,766.61,0
8748.044,415.71,489.73,766.61,0
8748.091,427.91,456.77,714.63,0
8748.122,427.91,456.77,714.63,0
8748.169,427.91,456.77,714.63,0
8748.2,417.60,508.77,709.50,0
8748.247,417.60,508.77,709.50,0
8748.278,420.93,499.99,711.31,0
8748.325,420.93,499.99,711.31,0
8748.372,420.41,499.10,751.01,0
8748.403,420.41,499.10,751.01,0
8748.434,422.75,485.27,716.68,0
8748.481,422.75,485.27,716.68,0
8748.513,418.52,523.11,725.30,0
8748.544,418.52,523.11,725.30,0
8748.591,421.89,450.64,701.35,0
8748.622,421.89,450.64,701.35,0
8748.669,413.37,543.95,686.02,0
8748.7,413.37,543.95,686.02,0
8748.747,413.37,543.95,686.02,0
8748.778,417.64,489.39,714.05,0
8748.825,417.64,489.39,714.05,0
8748.856,416.00,493.78,703.64,0
8748.919,416.00,493.78,703.64,0
8748.95,408.41,502.98,689.42,0
8748.997,408.41,502.98,689.42,0
8749.028,418.66,449.58,703.97,0
8749.075,418.66,449.58,703.97,0
8749.122,415.23,536.70,674.94,0
8749.153,415.23,536.70,674.94,0
8749.195,418.29,480.34,701.83,0
8749.242,418.29,480.34,701.83,0
8749.274,417.04,504.77,698.18,0
8749.32,417.04,504.77,698.18,0
8749.352,409.98,524.13,644.69,0
8749.399,409.98,524.13,644.69,0
8749.43,415.57,491.86,704.93,0
8749.477,415.57,491.86,704.93,0
8749.508,410.22,522.23,670.18,0
8749.555,410.22,522.23,670.18,0
8749.586,404.89,552.61,660.15,0
8749.617,404.89,552.61,660.15,0
8749.68,416.98,503.94,646.70,0
8749.742,416.98,503.94,646.70,0
8749.774,432.90,462.25,704.29,0
8749.82,432.90,462.25,704.29,0
8749.852,411.81,470.51,660.36,0
8749.899,411.81,470.51,660.36,0
8749.945,425.18,445.60,716.61,0
8749.992,425.18,445.60,716.61,0
8750.024,419.51,527.33,647.89,0
8750.07,419.51,527.33,647.89,0
8750.102,412.49,522.06,710.35,0
8750.149,412.49,522.06,710.35,0
8750.191,405.85,538.23,684.01,0
8750.238,405.85,538.23,684.01,0
8750.284,408.85,517.28,722.94,0
8750.316,408.85,517.28,722.94,276.84
8750.363,413.54,496.25,521.75,0
8750.394,413.54,496.25,521.75,0
8750.425,416.41,465.71,446.10,0
8750.488,416.41,465.71,446.10,0
8750.519,421.68,451.19,462.76,0
8750.566,421.68,451.19,462.76,0
8750.597,408.34,524.86,444.90,0
8750.644,408.34,524.86,444.90,0
8750.675,415.17,498.22,434.60,0
8750.722,415.17,498.22,434.60,0
8750.753,418.31,463.45,466.66,0
8750.8,418.31,463.45,466.66,0
8750.831,408.84,538.30,459.76,0
8750.878,408.84,538.30,459.76,0
8750.909,408.84,538.30,459.76,0
8750.956,416.43,483.22,437.46,0
8751.003,413.85,523.55,450.06,0
8751.05,413.85,523.55,450.06,0
8751.097,413.73,537.78,437.41,0
8751.128,413.73,537.78,437.41,0
8751.159,413.73,537.78,437.41,0
8751.206,414.09,499.45,456.65,0
8751.253,414.09,499.45,456.65,0
8751.284,413.54,487.44,451.37,0
8751.331,413.54,487.44,451.37,0
8751.378,414.94,462.35,468.32,0
8751.409,414.94,462.35,468.32,0
8751.441,409.29,503.77,438.51,0
8751.488,409.29,503.77,438.51,0
8751.534,418.60,505.21,454.62,0
8751.581,418.60,505.21,454.62,0
8751.613,422.80,477.52,465.55,0
8751.659,422.80,477.52,465.55,0
8751.691,419.53,507.40,492.42,0
8751.738,419.53,507.40,492.42,0
8751.769,421.24,482.11,456.96,0
8751.831,421.24,482.11,456.96,0
8751.894,417.65,493.04,466.24,0
8751.925,420.06,468.15,494.09,0
8751.972,420.06,468.15,494.09,0
8752.003,421.51,522.48,451.80,0
8752.05,421.51,522.48,451.80,0
8752.097,425.76,535.26,452.19,0
8752.128,425.76,535.26,452.19,0
8752.159,425.76,535.26,452.19,0
8752.202,409.54,541.33,464.52,0
8752.233,409.54,541.33,464.52,0
8752.28,412.20,517.61,519.94,0
8752.327,412.20,517.61,519.94,0
8752.358,418.57,455.66,499.22,0
8752.389,418.57,455.66,499.22,0
8752.42,416.65,458.42,471.10,0
8752.467,416.65,458.42,471.10,0
8752.514,419.47,481.54,491.34,0
8752.545,419.47,481.54,491.34,0
8752.592,416.54,492.73,486.62,0
8752.639,416.54,492.73,486.62,0
8752.67,419.95,456.21,490.89,0
8752.717,419.95,456.21,490.89,0
8752.754,414.97,502.98,449.43,0
8752.802,414.97,502.98,449.43,0
8752.851,417.16,498.11,446.82,0
8752.898,417.16,498.11,446.82,0
8752.929,411.58,504.57,449.61,0
8752.976,411.58,504.57,449.61,0
8753.007,416.97,452.59,460.22,0
8753.054,416.97,452.59,460.22,0
8753.086,425.02,471.02,486.03,0

e
